time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,69,0.30893953,7,"Platform-v0","PPO-PPO",143360,4.0,287,1,"discrete",282624,0.24030969,0.20771484375,0.0003,-0.011500388383865356,0.2,690,-0.1371876070435974,0.9758465923368931,1.3522984668088611,0.00017813588251129885
1,70,0.36016111,8,"Platform-v0","PPO-PPO",145408,3.98,239,1,"discrete",286720,0.97853935,0.23876953125,0.0003,-0.05074727162718773,0.2,700,-0.0062804133232020835,0.7576638758182526,-0.0509835981647484,0.002980215965362731
1,71,0.36459190999999996,8,"Platform-v0","PPO-PPO",147456,4.0,232,1,"discrete",290816,0.010835342,0.012060546875,0.0003,-0.022786211222410202,0.2,710,-0.005893370661920016,0.9672669135034084,-0.009283495499039418,0.0002862427181028693
1,72,0.30670537,6,"Platform-v0","PPO-PPO",149504,4.0,298,1,"discrete",294912,0.19327788,0.23681640625,0.0003,-0.005047510378062725,0.2,720,-0.13268750865972834,0.9902478586882353,0.5946206658270967,5.619986730849291e-05
1,73,0.36717616999999997,8,"Platform-v0","PPO-PPO",151552,4.0,244,1,"discrete",299008,1.0662661,0.25146484375,0.0003,-0.06925924867391586,0.2,730,-0.00903932617237615,0.7502205520868301,-0.05367483185254969,0.0032005784261855295
1,74,0.36801423,8,"Platform-v0","PPO-PPO",153600,4.0,244,1,"discrete",303104,0.002751585,0.007373046875,0.0003,-0.021928071975708008,0.2,740,-0.0013127399062000222,0.9700615480542183,-0.004521340046630939,0.00020520098122744912
1,75,0.31168908,6,"Platform-v0","PPO-PPO",155648,4.0,299,1,"discrete",307200,0.1091624,0.22392578125,0.0003,-0.04629280045628548,0.2,750,-0.12144803788219179,0.9886206425726414,-0.03258720485755475,9.205812586401407e-05
1,76,0.36653028,8,"Platform-v0","PPO-PPO",157696,3.99,243,1,"discrete",311296,1.448508,0.254638671875,0.0003,-0.07097645103931427,0.2,760,-0.006846984588757721,0.7470685839653015,-0.05378120886744,0.0032736763372668066
1,77,0.3693194900000001,16,"Platform-v0","PPO-PPO",159744,4.0,122,1,"discrete",315392,0.01012864,0.00576171875,0.0003,0.00020279947784729302,0.2,770,-0.0010638465946669839,0.9454266726970673,-0.005674275496130576,0.00043203410539547347
1,78,0.24683101999999996,6,"Platform-v0","PPO-PPO",161792,4.0,328,1,"discrete",319488,1.2120838,0.2361328125,0.0003,-0.05439145490527153,0.2,780,-0.008385930972781352,0.968665324151516,-0.04261553600663319,0.0001538557744765967
1,79,0.36510658999999995,8,"Platform-v0","PPO-PPO",163840,4.0,231,1,"discrete",323584,1.2248273,0.243701171875,0.0003,-0.038592033088207245,0.2,790,-0.004964693955366783,0.9897674694657326,-0.05378597857488785,0.00025391093528952523
1,80,0.36519248000000004,8,"Platform-v0","PPO-PPO",165888,3.98,237,1,"discrete",327680,0.03576857,0.009521484375,0.0003,-0.0006377049721777439,0.2,800,-0.00495840934599201,0.951566144824028,-0.005995096348488005,0.0004161195110583549
