time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/pamdp_timestep,custom/agent_type,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates
1,176128,4.0,0.37412425,348160,"discrete",276,7,0.0,0.9726822562515736,0.0,0.0002648433808431605,0.00018775681382976472,0.2,-0.0016268604824290378,-4.415299190441146e-06,0.0003,850
2,178176,4.0,0.3711480500000001,350208,"discrete",269,15,0.0,0.9731360748410225,0.0,0.0002583921022491609,9.952411346603185e-05,0.2,-0.00149360311916098,-4.871264536632224e-07,0.0003,860
3,180224,4.0,0.37509300999999995,352256,"discrete",264,23,0.0,0.959042388945818,5.820766e-09,0.0003512321629642656,0.00020420912187546492,0.2,-0.0017110397988290061,-1.0263786680297927e-05,0.0003,870
4,182272,4.0,0.37272073000000006,354304,"discrete",265,30,0.0,0.9808312263339758,0.0,0.00017900402505119928,0.00012504166807048023,0.2,-0.002351498599819024,-5.997257540002466e-06,0.0003,880
5,184320,4.0,0.37166934999999995,356352,"discrete",264,38,0.0,0.9844794915989041,2.9802322e-08,0.00015080348987837056,0.00015627652464900166,0.2,-0.0020573127945681335,-1.589781022630632e-05,0.0003,890
1,186368,4.0,0.37164906999999997,368640,"discrete",220,9,0.0,0.9804718121886253,0.0,0.00018298312823361584,2.029598363151308e-06,0.2,-0.0016074977469543229,-2.0518094970611855e-06,0.0003,900
2,188416,4.0,0.37258574999999994,370688,"discrete",238,17,0.0,0.9644193053245544,1.5781843e-06,0.00036012347192837524,-0.0006592294084839523,0.2,-0.002994403082993813,-6.809385231463239e-05,0.0003,910
3,190464,4.0,0.37422537999999994,372736,"discrete",244,25,0.000439453125,0.9562470801174641,0.000945181,0.00043498931650560736,0.00029365846421569586,0.2,-0.0027506496753630927,-0.0005161748282262124,0.0003,920
4,192512,4.0,0.37538371000000004,374784,"discrete",230,35,0.0,0.9668917916715145,0.0,0.0003177459158038687,0.00019342784071341157,0.2,-0.0012361965917079942,-9.510686504654587e-06,0.0003,930
5,194560,4.0,0.37565739,376832,"discrete",234,43,0.0,0.9846320878714323,0.0,0.00012076594092746973,-7.920692041807342e-06,0.2,-0.001003564334132534,-4.328191062086262e-06,0.0003,940
