custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
,,1.31,-6.06924577,196608,391168,,,12,"continuous",3,507,0.0098637175,0.0003,0.34669947624206543,0.2,105.06953430175781,0.6762993931770325,208.39573311805725,950,-3.9148619078099727,0.13828125,-0.00011347398012730991
32,"PPO-PPO",1.36,-4.6787446500000005,198656,399360,1,"Goal-v0",3,"continuous",1,514,0.01242125,0.0003,0.2797764539718628,0.2,60.00206756591797,0.6724199056625366,205.09838916063308,960,-3.8890630841255187,0.148583984375,-0.005613268454908393
,,1.49,-5.31915882,200704,401408,,,8,"continuous",2,468,0.016071722,0.0003,0.31988972425460815,0.2,133.73626708984375,0.666776180267334,197.1445748567581,970,-3.8553671441972255,0.159814453125,-0.003238367519224994
,,1.36,-4.51153535,202752,403456,,,13,"continuous",3,471,0.012527862,0.0003,0.33810025453567505,0.2,106.28636169433594,0.6684128046035767,186.16338272094725,980,-3.833052746206522,0.142431640625,-0.0004524495372606907
33,"PPO-PPO",1.49,-1.03066988,204800,411648,1,"Goal-v0",4,"continuous",1,506,0.015481286,0.0003,0.3483157157897949,0.2,63.57120132446289,0.664202094078064,209.68743340969087,990,-3.802566773444414,0.191748046875,-0.007477391829888802
,,1.27,-4.129394759999999,206848,413696,,,8,"continuous",2,500,0.015199492,0.0003,0.28080493211746216,0.2,117.73700714111328,0.6652970910072327,206.53888602256774,1000,-3.7786924332380294,0.15107421875,0.0004103320636204444
,,1.41,-6.572189829999998,208896,415744,,,12,"continuous",3,497,0.010444456,0.0003,0.3287612795829773,0.2,117.93887329101562,0.6679446697235107,229.28509478569032,1010,-3.778158335387707,0.162841796875,-0.0024304707869305274
34,"PPO-PPO",1.47,-2.416434599999999,210944,423936,1,"Goal-v0",4,"continuous",1,493,0.012517231,0.0003,0.3517215847969055,0.2,84.04672241210938,0.6619482636451721,223.7515827894211,1020,-3.759032405167818,0.169873046875,-0.0011327400236041286
,,1.37,-1.5567514199999999,212992,425984,,,8,"continuous",2,491,0.012983836,0.0003,0.275903582572937,0.2,95.48564910888672,0.6591967344284058,212.67353333234786,1030,-3.727958499640226,0.1470703125,-0.0006619054329348728
,,1.47,-3.99552079,215040,428032,,,12,"continuous",3,484,0.012637872,0.0003,0.32278382778167725,0.2,134.45521545410156,0.6527860760688782,201.9129898905754,1040,-3.688340274244547,0.184619140625,-0.0009573316754540428
