custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/std,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
,,,0.2560173,126976,"continuous",2,3.98,340,253952,,12,0.2,0.8280789256095886,0.900168664753437,0.130859375,0.0009461216781346593,610,-0.0010619654785841703,0.008454372,0.0003,0.001372783691431323,-3.412511008232832
,,,0.26199506,129024,"continuous",3,4.0,334,256000,,18,0.2,0.8258442282676697,0.881226047873497,0.16845703125,-0.001307352544972673,620,0.013571375980973244,0.016863268,0.0003,0.0012487075668104809,-3.4054694809019566
"Platform-v0","PPO-PPO",1,0.37367755,131072,"continuous",1,4.0,215,264192,21,9,0.2,0.8182786107063293,0.8884513527154922,0.131201171875,-0.0002149128442397341,630,-0.007257354911416769,0.015049567,0.0003,0.0011854087020310544,-3.373891881108284
,,,0.36752806,133120,"continuous",2,4.0,218,266240,,18,0.2,0.8154008984565735,0.9702879600226879,0.10966796875,0.004243718517682282,640,-0.018020393326878548,0.009104935,0.0003,0.00044021290351210497,-3.358731196075678
,,,0.37502433,135168,"continuous",3,4.0,219,268288,,27,0.2,0.8122820854187012,0.9673663713037968,0.16767578125,0.0008601651294156909,650,0.0040322355926036835,0.010447941,0.0003,0.0002931906202476853,-3.3330041602253915
"Platform-v0","PPO-PPO",1,0.37204558999999987,137216,"continuous",1,4.0,205,276480,22,9,0.2,0.809126615524292,0.9809417333453894,0.177294921875,0.0003418395557673648,660,0.07154298573732376,0.011136322,0.0003,0.00017679314250429456,-3.320120643824339
,,,0.3694162800000001,139264,"continuous",2,4.0,215,278528,,19,0.2,0.8221107125282288,0.9542655050754547,0.14287109375,-0.00011508856114232913,670,0.0854114517569542,0.017397942,0.0003,0.0004701154353938364,-3.336982112377882
,,,0.36699558,141312,"continuous",3,4.0,221,280576,,27,0.2,0.8267170786857605,0.9305909723043442,0.107958984375,-0.00015263942768797278,680,-0.006268737372010946,0.005318296,0.0003,0.0006894637190100639,-3.3625463634729384
"Platform-v0","PPO-PPO",1,0.34114444,143360,"continuous",1,4.0,263,288768,23,7,0.2,0.8236980438232422,0.9309805333614349,0.156494140625,-0.005383968631213066,690,-0.005351261235773563,0.011846572,0.0003,0.0007362869418102491,-3.3612139388918876
,,,0.34831956999999997,145408,"continuous",2,4.0,257,290816,,15,0.2,0.8225510120391846,0.7992253750562668,0.135888671875,-0.002589286261354573,700,-0.013810872100293636,0.006782774,0.0003,0.0023570444060169392,-3.3518605403602124
,,,0.34542170000000005,147456,"continuous",3,4.0,254,292864,,24,0.2,0.8132071495056152,0.812279000878334,0.111279296875,6.842093862360343e-05,710,0.00569187430664897,0.0060538165,0.0003,0.0021779493497888327,-3.330822565406561
